Kcomp[m2/s] 	
1.5d-8	
soil_node	ssd[-]
274	0.002873563
674	0.002873563
1074	0.002873563
1474	0.002873563
1874	0.002873563
2274	0.002873563
2674	0.002873563
3074	0.002873563
3474	0.002873563
3853	0.002873563
3854	0.002873563
3855	0.002873563
3873	0.002873563
3874	0.002873563
3875	0.002873563
3893	0.002873563
3894	0.002873563
3895	0.002873563
4253	0.002873563
4254	0.002873563
4255	0.002873563
4273	0.002873563
4274	0.002873563
4275	0.002873563
4293	0.002873563
4294	0.002873563
4295	0.002873563
4632	0.002873563
4633	0.002873563
4634	0.002873563
4635	0.002873563
4636	0.002873563
4652	0.002873563
4653	0.002873563
4654	0.002873563
4655	0.002873563
4656	0.002873563
4672	0.002873563
4673	0.002873563
4674	0.002873563
4675	0.002873563
4676	0.002873563
4692	0.002873563
4693	0.002873563
4694	0.002873563
4695	0.002873563
4696	0.002873563
4712	0.002873563
4713	0.002873563
4714	0.002873563
4715	0.002873563
4716	0.002873563
5032	0.002873563
5033	0.002873563
5034	0.002873563
5035	0.002873563
5036	0.002873563
5052	0.002873563
5053	0.002873563
5054	0.002873563
5055	0.002873563
5056	0.002873563
5072	0.002873563
5073	0.002873563
5074	0.002873563
5075	0.002873563
5076	0.002873563
5092	0.002873563
5093	0.002873563
5094	0.002873563
5095	0.002873563
5096	0.002873563
5112	0.002873563
5113	0.002873563
5114	0.002873563
5115	0.002873563
5116	0.002873563
5411	0.002873563
5412	0.002873563
5413	0.002873563
5414	0.002873563
5415	0.002873563
5416	0.002873563
5417	0.002873563
5431	0.002873563
5432	0.002873563
5433	0.002873563
5434	0.002873563
5435	0.002873563
5436	0.002873563
5437	0.002873563
5451	0.002873563
5452	0.002873563
5453	0.002873563
5454	0.002873563
5455	0.002873563
5456	0.002873563
5457	0.002873563
5471	0.002873563
5472	0.002873563
5473	0.002873563
5474	0.002873563
5475	0.002873563
5476	0.002873563
5477	0.002873563
5491	0.002873563
5492	0.002873563
5493	0.002873563
5494	0.002873563
5495	0.002873563
5496	0.002873563
5497	0.002873563
5511	0.002873563
5512	0.002873563
5513	0.002873563
5514	0.002873563
5515	0.002873563
5516	0.002873563
5517	0.002873563
5531	0.002873563
5532	0.002873563
5533	0.002873563
5534	0.002873563
5535	0.002873563
5536	0.002873563
5537	0.002873563
5790	0.002873563
5791	0.002873563
5792	0.002873563
5793	0.002873563
5794	0.002873563
5795	0.002873563
5796	0.002873563
5797	0.002873563
5798	0.002873563
5810	0.002873563
5811	0.002873563
5812	0.002873563
5813	0.002873563
5814	0.002873563
5815	0.002873563
5816	0.002873563
5817	0.002873563
5818	0.002873563
5830	0.002873563
5831	0.002873563
5832	0.002873563
5833	0.002873563
5834	0.002873563
5835	0.002873563
5836	0.002873563
5837	0.002873563
5838	0.002873563
5850	0.002873563
5851	0.002873563
5852	0.002873563
5853	0.002873563
5854	0.002873563
5855	0.002873563
5856	0.002873563
5857	0.002873563
5858	0.002873563
5870	0.002873563
5871	0.002873563
5872	0.002873563
5873	0.002873563
5874	0.002873563
5875	0.002873563
5876	0.002873563
5877	0.002873563
5878	0.002873563
5890	0.002873563
5891	0.002873563
5892	0.002873563
5893	0.002873563
5894	0.002873563
5895	0.002873563
5896	0.002873563
5897	0.002873563
5898	0.002873563
5910	0.002873563
5911	0.002873563
5912	0.002873563
5913	0.002873563
5914	0.002873563
5915	0.002873563
5916	0.002873563
5917	0.002873563
5918	0.002873563
5930	0.002873563
5931	0.002873563
5932	0.002873563
5933	0.002873563
5934	0.002873563
5935	0.002873563
5936	0.002873563
5937	0.002873563
5938	0.002873563
5950	0.002873563
5951	0.002873563
5952	0.002873563
5953	0.002873563
5954	0.002873563
5955	0.002873563
5956	0.002873563
5957	0.002873563
5958	0.002873563
6190	0.002873563
6191	0.002873563
6192	0.002873563
6193	0.002873563
6194	0.002873563
6195	0.002873563
6196	0.002873563
6197	0.002873563
6198	0.002873563
6210	0.002873563
6211	0.002873563
6212	0.002873563
6213	0.002873563
6214	0.002873563
6215	0.002873563
6216	0.002873563
6217	0.002873563
6218	0.002873563
6230	0.002873563
6231	0.002873563
6232	0.002873563
6233	0.002873563
6234	0.002873563
6235	0.002873563
6236	0.002873563
6237	0.002873563
6238	0.002873563
6250	0.002873563
6251	0.002873563
6252	0.002873563
6253	0.002873563
6254	0.002873563
6255	0.002873563
6256	0.002873563
6257	0.002873563
6258	0.002873563
6270	0.002873563
6271	0.002873563
6272	0.002873563
6273	0.002873563
6274	0.002873563
6275	0.002873563
6276	0.002873563
6277	0.002873563
