Kcomp[m2/s] 	
6278	0.002873563
6290	0.002873563
6291	0.002873563
6292	0.002873563
6293	0.002873563
6294	0.002873563
6295	0.002873563
6296	0.002873563
6297	0.002873563
6298	0.002873563
6310	0.002873563
6311	0.002873563
6312	0.002873563
6313	0.002873563
6314	0.002873563
6315	0.002873563
6316	0.002873563
6317	0.002873563
6318	0.002873563
6330	0.002873563
6331	0.002873563
6332	0.002873563
6333	0.002873563
6334	0.002873563
6335	0.002873563
6336	0.002873563
6337	0.002873563
6338	0.002873563
6350	0.002873563
6351	0.002873563
6352	0.002873563
6353	0.002873563
6354	0.002873563
6355	0.002873563
6356	0.002873563
6357	0.002873563
6358	0.002873563
6611	0.002873563
6612	0.002873563
6613	0.002873563
6614	0.002873563
6615	0.002873563
6616	0.002873563
6617	0.002873563
6631	0.002873563
6632	0.002873563
6633	0.002873563
6634	0.002873563
6635	0.002873563
6636	0.002873563
6637	0.002873563
6651	0.002873563
6652	0.002873563
6653	0.002873563
6654	0.002873563
6655	0.002873563
6656	0.002873563
6657	0.002873563
6671	0.002873563
6672	0.002873563
6673	0.002873563
6674	0.002873563
6675	0.002873563
6676	0.002873563
6677	0.002873563
6691	0.002873563
6692	0.002873563
6693	0.002873563
6694	0.002873563
6695	0.002873563
6696	0.002873563
6697	0.002873563
6711	0.002873563
6712	0.002873563
6713	0.002873563
6714	0.002873563
6715	0.002873563
6716	0.002873563
6717	0.002873563
6731	0.002873563
6732	0.002873563
6733	0.002873563
6734	0.002873563
6735	0.002873563
6736	0.002873563
6737	0.002873563
7053	0.002873563
7054	0.002873563
7055	0.002873563
7073	0.002873563
7074	0.002873563
7075	0.002873563
7093	0.002873563
7094	0.002873563
7095	0.002873563
7474	0.002873563
7874	0.002873563
