: Source File - D:\aRoot\mRootRhizo\tRIBSVEGGIE_files\UMBS_NetPPT_file_hourly.dat
:
: Start Date - 
: End Date - 
: Time Increment - 1hr
:
: Data - Time(seconds) Recharge (m/s)
: Time[s]	m/s
2329200	0
2332800	0
2336400	0
2340000	0
2343600	0
2347200	0
2350800	0
2354400	0
2358000	0
2361600	0
2365200	0
2368800	0
2372400	0
2376000	0
2379600	0
2383200	0
2386800	0
2390400	0
2394000	0
2397600	0
2401200	0
2404800	0
2408400	0
2412000	0
2415600	0
2419200	0
2422800	0
2426400	0
2430000	0
2433600	1.22795E-07
2437200	6.85694E-07
2440800	2.32495E-07
2444400	5.84781E-08
2448000	1.35871E-07
2451600	8.494E-08
2455200	2.36744E-08
2458800	4.75972E-09
2462400	8.47369E-08
2466000	2.148E-08
2469600	1.99444E-09
2473200	0
2476800	0
2480400	0
2484000	0
2487600	0
2491200	0
2494800	0
2498400	0
2502000	0
2505600	0
2509200	0
2512800	0
2516400	0
2520000	0
2523600	0
2527200	0
2530800	0
2534400	0
2538000	0
2541600	0
2545200	0
2548800	0
2552400	0
2556000	0
2559600	0
2563200	0
2566800	0
2570400	0
2574000	0
2577600	0
2581200	0
2584800	0
2588400	0
2592000	0
2595600	0
2599200	0
2602800	0
2606400	0
2610000	0
2613600	0
2617200	0
2620800	0
2624400	0
2628000	0
2631600	0
2635200	0
2638800	0
2642400	0
2646000	0
2649600	0
2653200	0
2656800	0
2660400	0
2664000	0
2667600	0
2671200	0
2674800	0
2678400	0
2682000	2.61743E-06
2685600	2.49827E-07
2689200	4.09244E-08
2692800	1.92925E-08
2696400	9.21278E-09
2700000	4.9875E-09
2703600	2.67969E-08
2707200	2.97922E-08
2710800	1.5164E-07
2714400	9.67936E-08
2718000	1.67042E-08
2721600	8.38889E-10
2725200	0
2728800	0
2732400	0
2736000	0
2739600	0
2743200	0
2746800	0
2750400	0
2754000	0
2757600	0
2761200	0
2764800	0
2768400	0
2772000	0
2775600	0
2779200	0
2782800	0
2786400	0
2790000	0
2793600	0
2797200	0
2800800	0
2804400	0
2808000	0
2811600	0
2815200	0
2818800	0
2822400	0
2826000	0
2829600	0
2833200	0
2836800	0
2840400	0
2844000	0
2847600	0
2851200	0
2854800	0
2858400	0
2862000	0
2865600	0
2869200	0
2872800	0
2876400	0
2880000	0
2883600	0
2887200	0
2890800	0
2894400	0
2898000	0
2901600	0
2905200	0
2908800	0
2912400	0
2916000	0
2919600	0
2923200	0
2926800	0
2930400	0
2934000	0
2937600	0
2941200	0
2944800	0
2948400	0
2952000	0
2955600	0
2959200	0
2962800	0
2966400	0
2970000	0
2973600	0
2977200	0
2980800	0
2984400	0
2988000	0
2991600	0
2995200	0
2998800	0
3002400	0
3006000	0
3009600	0
3013200	0
3016800	0
3020400	0
3024000	0
3027600	2.64544E-08
3031200	1.25056E-08
3034800	7.71778E-09
3038400	4.52167E-09
3042000	3.585E-09
3045600	1.99472E-09
3049200	1.36222E-09
3052800	0
3056400	0
3060000	0
3063600	0
3067200	0
3070800	0
3074400	0
3078000	0
3081600	0
3085200	0
3088800	0
3092400	0
3096000	0
3099600	0
3103200	0
3106800	0
3110400	0
3114000	0
3117600	0
3121200	0
3124800	0
3128400	0
3132000	0
3135600	0
3139200	0
3142800	0
3146400	0
3150000	0
3153600	0
3157200	0
3160800	0
3164400	0
3168000	0
3171600	0
3175200	0
3178800	0
3182400	0
3186000	0
3189600	0
3193200	0
3196800	0
3200400	0
3204000	0
3207600	0
3211200	0
3214800	0
3218400	0
3222000	0
3225600	0
3229200	0
3232800	0
3236400	0
3240000	0
3243600	0
3247200	0
3250800	0
3254400	0
3258000	0
3261600	0
3265200	0
3268800	0
3272400	0
3276000	0
3279600	0
3283200	0
3286800	0
3290400	0
3294000	0
3297600	0
3301200	0
3304800	0
3308400	0
3312000	0
3315600	6.35033E-08
3319200	1.57636E-08
3322800	8.68056E-10
3326400	8.45356E-08
3330000	2.76911E-08
3333600	5.23361E-09
3337200	0
3340800	0
3344400	0
3348000	0
3351600	0
3355200	0
3358800	0
3362400	0
3366000	0
3369600	0
3373200	0
3376800	0
3380400	0
3384000	0
3387600	0
3391200	0
3394800	0
3398400	0
3402000	0
3405600	0
3409200	0
3412800	0
3416400	0
3420000	0
3423600	0
3427200	0
3430800	0
3434400	0
3438000	0
3441600	0
3445200	0
3448800	0
3452400	0
3456000	0
3459600	0
3463200	0
3466800	0
3470400	0
3474000	0
3477600	0
3481200	0
3484800	0
3488400	0
3492000	0
3495600	0
3499200	0
3502800	0
3506400	0
3510000	0
3513600	0
3517200	0
3520800	0
3524400	0
3528000	0
3531600	0
3535200	0
3538800	0
3542400	0
3546000	0
3549600	0
3553200	0
3556800	0
3560400	0
3564000	0
3567600	0
3571200	0
3574800	0
3578400	0
3582000	2.50997E-08
3585600	4.50486E-08
3589200	1.16919E-08
3592800	8.78889E-10
3596400	0
3600000	0
3603600	4.151E-08
3607200	2.96183E-08
3610800	1.12933E-08
3614400	2.3049E-07
3618000	1.57464E-07
3621600	5.57414E-08
3625200	3.07439E-08
3628800	1.95897E-08
