soil_cell	ssd[-]
2506	0.008064516
2846	0.008064516
2906	0.008064516
2926	0.008064516
2969	0.008064516
3246	0.008064516
3266	0.008064516
3326	0.008064516
3368	0.008064516
3369	0.008064516
3667	0.008064516
3687	0.008064516
3726	0.008064516
3768	0.008064516
4087	0.008064516
4126	0.008064516
4148	0.008064516
4168	0.008064516
4487	0.008064516
4488	0.008064516
4489	0.008064516
4490	0.008064516
4506	0.008064516
4526	0.008064516
4548	0.008064516
4887	0.008064516
4888	0.008064516
4889	0.008064516
4906	0.008064516
4907	0.008064516
4926	0.008064516
4947	0.008064516
4948	0.008064516
5246	0.008064516
5287	0.008064516
5288	0.008064516
5289	0.008064516
5306	0.008064516
5307	0.008064516
5326	0.008064516
5347	0.008064516
5646	0.008064516
5666	0.008064516
5687	0.008064516
5688	0.008064516
5706	0.008064516
5707	0.008064516
5708	0.008064516
5726	0.008064516
5747	0.008064516
5766	0.008064516
6066	0.008064516
6087	0.008064516
6106	0.008064516
6107	0.008064516
6108	0.008064516
6126	0.008064516
6127	0.008064516
6146	0.008064516
6147	0.008064516
6166	0.008064516
6466	0.008064516
6468	0.008064516
6469	0.008064516
6486	0.008064516
6488	0.008064516
6506	0.008064516
6507	0.008064516
6508	0.008064516
6526	0.008064516
6527	0.008064516
6546	0.008064516
6547	0.008064516
6849	0.008064516
6869	0.008064516
6886	0.008064516
6887	0.008064516
6888	0.008064516
6906	0.008064516
6907	0.008064516
6926	0.008064516
6927	0.008064516
6945	0.008064516
6946	0.008064516
6964	0.008064516
6965	0.008064516
6984	0.008064516
7244	0.008064516
7245	0.008064516
7265	0.008064516
7268	0.008064516
7269	0.008064516
7286	0.008064516
7287	0.008064516
7288	0.008064516
7306	0.008064516
7307	0.008064516
7325	0.008064516
7326	0.008064516
7327	0.008064516
7669	0.008064516
7706	0.008064516
7726	0.008064516
7727	0.008064516
