soil_cell	ssd[-]
2464	0.002873563
2804	0.002873563
2864	0.002873563
2884	0.002873563
2927	0.002873563
3204	0.002873563
3224	0.002873563
3284	0.002873563
3326	0.002873563
3327	0.002873563
3625	0.002873563
3645	0.002873563
3684	0.002873563
3726	0.002873563
4045	0.002873563
4084	0.002873563
4106	0.002873563
4126	0.002873563
4445	0.002873563
4446	0.002873563
4447	0.002873563
4448	0.002873563
4464	0.002873563
4484	0.002873563
4506	0.002873563
4845	0.002873563
4846	0.002873563
4847	0.002873563
4864	0.002873563
4865	0.002873563
4884	0.002873563
4905	0.002873563
4906	0.002873563
5204	0.002873563
5245	0.002873563
5246	0.002873563
5247	0.002873563
5264	0.002873563
5265	0.002873563
5284	0.002873563
5305	0.002873563
5604	0.002873563
5624	0.002873563
5645	0.002873563
5646	0.002873563
5664	0.002873563
5665	0.002873563
5666	0.002873563
5684	0.002873563
5705	0.002873563
5724	0.002873563
6024	0.002873563
6045	0.002873563
6064	0.002873563
6065	0.002873563
6066	0.002873563
6084	0.002873563
6085	0.002873563
6104	0.002873563
6105	0.002873563
6124	0.002873563
6424	0.002873563
6426	0.002873563
6427	0.002873563
6444	0.002873563
6446	0.002873563
6464	0.002873563
6465	0.002873563
6466	0.002873563
6484	0.002873563
6485	0.002873563
6504	0.002873563
6505	0.002873563
6807	0.002873563
6827	0.002873563
6844	0.002873563
6845	0.002873563
6846	0.002873563
6864	0.002873563
6865	0.002873563
6884	0.002873563
6885	0.002873563
6903	0.002873563
6904	0.002873563
6922	0.002873563
6923	0.002873563
6942	0.002873563
7202	0.002873563
7203	0.002873563
7223	0.002873563
7226	0.002873563
7227	0.002873563
7244	0.002873563
7245	0.002873563
7246	0.002873563
7264	0.002873563
7265	0.002873563
7283	0.002873563
7284	0.002873563
7285	0.002873563
7627	0.002873563
7664	0.002873563
7684	0.002873563
7685	0.002873563
